"These data reflect data in the 2025 Medicaid and CHIP Scorecard website at the time of download. If the user sorted these data on the website, the sorting will not carry over into this file.",""
"Opening this file in Excel may alter the formatting of some values. In particular, Excel may add or remove trailing zeros in decimal places regardless of original formatting. Please open the file in a text editor or equivalent to see the values as they were exported.",""
Date of download: 05/27/2026,""
Measure name:,"Medicaid and CHIP Enrollment"
Measure description:,"Number of Medicaid and Children's Health Insurance Program (CHIP) enrollees by state."
Data source:,"Medicaid and CHIP Performance Indicators"

Enrollment Category,Month,Number of Enrollees
Medicaid Child and CHIP Enrollment,September 2019,"35,561,255"
Medicaid Child and CHIP Enrollment,October 2019,"35,537,564"
Medicaid Child and CHIP Enrollment,November 2019,"35,442,709"
Medicaid Child and CHIP Enrollment,December 2019,"35,342,757"
Medicaid Child and CHIP Enrollment,January 2020,"35,347,664"
Medicaid Child and CHIP Enrollment,February 2020,"35,309,866"
Medicaid Child and CHIP Enrollment,March 2020,"35,368,445"
Medicaid Child and CHIP Enrollment,April 2020,"35,787,382"
Medicaid Child and CHIP Enrollment,May 2020,"36,203,366"
Medicaid Child and CHIP Enrollment,June 2020,"36,552,530"
Medicaid Child and CHIP Enrollment,July 2020,"36,928,174"
Medicaid Child and CHIP Enrollment,August 2020,"37,245,598"
Medicaid Child and CHIP Enrollment,September 2020,"37,514,014"
Medicaid Child and CHIP Enrollment,October 2020,"37,765,229"
Medicaid Child and CHIP Enrollment,November 2020,"38,011,526"
Medicaid Child and CHIP Enrollment,December 2020,"38,244,845"
Medicaid Child and CHIP Enrollment,January 2021,"38,379,901"
Medicaid Child and CHIP Enrollment,February 2021,"38,546,322"
Medicaid Child and CHIP Enrollment,March 2021,"38,743,015"
Medicaid Child and CHIP Enrollment,April 2021,"38,914,098"
Medicaid Child and CHIP Enrollment,May 2021,"39,052,603"
Medicaid Child and CHIP Enrollment,June 2021,"39,216,299"
Medicaid Child and CHIP Enrollment,July 2021,"39,356,108"
Medicaid Child and CHIP Enrollment,August 2021,"39,575,057"
Medicaid Child and CHIP Enrollment,September 2021,"39,724,029"
Medicaid Child and CHIP Enrollment,October 2021,"39,860,407"
Medicaid Child and CHIP Enrollment,November 2021,"39,968,451"
Medicaid Child and CHIP Enrollment,December 2021,"40,091,538"
Medicaid Child and CHIP Enrollment,January 2022,"40,231,597"
Medicaid Child and CHIP Enrollment,February 2022,"40,380,405"
Medicaid Child and CHIP Enrollment,March 2022,"40,538,134"
Medicaid Child and CHIP Enrollment,April 2022,"40,626,391"
Medicaid Child and CHIP Enrollment,May 2022,"40,753,817"
Medicaid Child and CHIP Enrollment,June 2022,"40,900,206"
Medicaid Child and CHIP Enrollment,July 2022,"41,132,976"
Medicaid Child and CHIP Enrollment,August 2022,"41,316,196"
Medicaid Child and CHIP Enrollment,September 2022,"41,450,512"
Medicaid Child and CHIP Enrollment,October 2022,"41,567,638"
Medicaid Child and CHIP Enrollment,November 2022,"41,694,252"
Medicaid Child and CHIP Enrollment,December 2022,"41,852,002"
Medicaid Child and CHIP Enrollment,January 2023,"42,030,062"
Medicaid Child and CHIP Enrollment,February 2023,"42,148,433"
Medicaid Child and CHIP Enrollment,March 2023,"42,278,895"
Medicaid Child and CHIP Enrollment,April 2023,"42,326,272"
Medicaid Child and CHIP Enrollment,May 2023,"42,148,358"
Medicaid Child and CHIP Enrollment,June 2023,"41,601,239"
Medicaid Child and CHIP Enrollment,July 2023,"41,267,466"
Medicaid Child and CHIP Enrollment,August 2023,"40,770,724"
Medicaid Child and CHIP Enrollment,September 2023,"40,216,796"
Medicaid Child and CHIP Enrollment,October 2023,"39,786,516"
Medicaid Child and CHIP Enrollment,November 2023,"39,160,133"
Medicaid Child and CHIP Enrollment,December 2023,"38,631,714"
Medicaid Child and CHIP Enrollment,January 2024,"38,212,041"
Medicaid Child and CHIP Enrollment,February 2024,"38,042,800"
Medicaid Child and CHIP Enrollment,March 2024,"37,871,819"
Medicaid Child and CHIP Enrollment,April 2024,"37,629,425"
Medicaid Child and CHIP Enrollment,May 2024,"38,220,110"
Medicaid Child and CHIP Enrollment,June 2024,"37,959,997"
Medicaid Child and CHIP Enrollment,July 2024,"37,913,079"
Medicaid Child and CHIP Enrollment,August 2024,"37,970,379"
Medicaid Child and CHIP Enrollment,September 2024,"37,922,578"
Medicaid Child and CHIP Enrollment,October 2024,"37,852,044"
Medicaid Child and CHIP Enrollment,November 2024,"37,766,180"
Medicaid Child and CHIP Enrollment,December 2024,"37,577,192"
Medicaid Child and CHIP Enrollment,January 2025,"37,659,415"
Medicaid Child and CHIP Enrollment,February 2025,"37,610,792"
Medicaid Child and CHIP Enrollment,March 2025,"37,557,295"
Medicaid Child and CHIP Enrollment,April 2025,"37,473,635"
